time_s,integral,shift,assignment,experiment,ISTD_mg_mL,ISTD
195,449.828,2.5926465,SM_A,JIV-01-05zg2d,25,927.181
225,432.157,2.5926465,SM_A,JIV-01-05zg2d,25,977.316
255,426.947,2.5926465,SM_A,JIV-01-05zg2d,25,938.872
285,420.362,2.5926465,SM_A,JIV-01-05zg2d,25,947.744
315,413.954,2.5926465,SM_A,JIV-01-05zg2d,25,935.153
345,404.475,2.5926465,SM_A,JIV-01-05zg2d,25,956.691
375,391.158,2.5926465,SM_A,JIV-01-05zg2d,25,927.71
405,383.855,2.5926465,SM_A,JIV-01-05zg2d,25,898.997
435,376.537,2.5926465,SM_A,JIV-01-05zg2d,25,949.244
465,367.093,2.5926465,SM_A,JIV-01-05zg2d,25,911.056
495,356.711,2.5926465,SM_A,JIV-01-05zg2d,25,940.211
525,351.538,2.5926465,SM_A,JIV-01-05zg2d,25,910.76
555,334.738,2.5926465,SM_A,JIV-01-05zg2d,25,917.023
585,331.655,2.5926465,SM_A,JIV-01-05zg2d,25,924.143
615,332.507,2.5926465,SM_A,JIV-01-05zg2d,25,917.468
645,318.12,2.5926465,SM_A,JIV-01-05zg2d,25,898.343
675,310.029,2.5926465,SM_A,JIV-01-05zg2d,25,936.855
705,308.311,2.5926465,SM_A,JIV-01-05zg2d,25,895.976
735,300.341,2.5926465,SM_A,JIV-01-05zg2d,25,925.282
765,295.715,2.5926465,SM_A,JIV-01-05zg2d,25,929.872
795,277.795,2.5926465,SM_A,JIV-01-05zg2d,25,951.949
825,280.075,2.5926465,SM_A,JIV-01-05zg2d,25,911.715
855,276.379,2.5926465,SM_A,JIV-01-05zg2d,25,970.048
885,271.178,2.5926465,SM_A,JIV-01-05zg2d,25,923.906
915,258.51,2.5926465,SM_A,JIV-01-05zg2d,25,921.989
945,262.887,2.5926465,SM_A,JIV-01-05zg2d,25,934.553
975,256.049,2.5926465,SM_A,JIV-01-05zg2d,25,944.673
1005,247.218,2.5926465,SM_A,JIV-01-05zg2d,25,892.919
1035,247.246,2.5926465,SM_A,JIV-01-05zg2d,25,920.133
1065,243.801,2.5926465,SM_A,JIV-01-05zg2d,25,924.957
1095,232.487,2.5926465,SM_A,JIV-01-05zg2d,25,929.96
1125,226.153,2.5926465,SM_A,JIV-01-05zg2d,25,951.474
1155,223.774,2.5926465,SM_A,JIV-01-05zg2d,25,927.247
1185,225.597,2.5926465,SM_A,JIV-01-05zg2d,25,928.166
1215,216.246,2.5926465,SM_A,JIV-01-05zg2d,25,875.587
1245,210.542,2.5926465,SM_A,JIV-01-05zg2d,25,905.519
1275,204.23,2.5926465,SM_A,JIV-01-05zg2d,25,938.035
1305,182.812,2.5926465,SM_A,JIV-01-05zg2d,25,935.575
1335,192.554,2.5926465,SM_A,JIV-01-05zg2d,25,924.799
1365,186.479,2.5926465,SM_A,JIV-01-05zg2d,25,925.617
1395,190.481,2.5926465,SM_A,JIV-01-05zg2d,25,913.134
1425,182.2,2.5926465,SM_A,JIV-01-05zg2d,25,923.826
1455,180.847,2.5926465,SM_A,JIV-01-05zg2d,25,928.959
1485,179.179,2.5926465,SM_A,JIV-01-05zg2d,25,895.995
1515,173.924,2.5926465,SM_A,JIV-01-05zg2d,25,866.579
1545,161.964,2.5926465,SM_A,JIV-01-05zg2d,25,931.473
1575,159.358,2.5926465,SM_A,JIV-01-05zg2d,25,926.39
1605,166.142,2.5926465,SM_A,JIV-01-05zg2d,25,883.949
1635,156.712,2.5926465,SM_A,JIV-01-05zg2d,25,937.547
1665,154.198,2.5926465,SM_A,JIV-01-05zg2d,25,894.494
1695,138.773,2.5926465,SM_A,JIV-01-05zg2d,25,953.991
1725,139.754,2.5926465,SM_A,JIV-01-05zg2d,25,961.545
1755,156.237,2.5926465,SM_A,JIV-01-05zg2d,25,904.606
1785,136.197,2.5926465,SM_A,JIV-01-05zg2d,25,935.475
1815,144.407,2.5926465,SM_A,JIV-01-05zg2d,25,911.41
1845,140.595,2.5926465,SM_A,JIV-01-05zg2d,25,918.642
1875,139.91,2.5926465,SM_A,JIV-01-05zg2d,25,888.978
1905,124.774,2.5926465,SM_A,JIV-01-05zg2d,25,939.353
1935,136.777,2.5926465,SM_A,JIV-01-05zg2d,25,902
1965,118.702,2.5926465,SM_A,JIV-01-05zg2d,25,928.93
1995,125.962,2.5926465,SM_A,JIV-01-05zg2d,25,910.628
2025,114.253,2.5926465,SM_A,JIV-01-05zg2d,25,941.227
2055,108.651,2.5926465,SM_A,JIV-01-05zg2d,25,959.675
2085,113.954,2.5926465,SM_A,JIV-01-05zg2d,25,945.956
2115,119.819,2.5926465,SM_A,JIV-01-05zg2d,25,910.936
2145,114.076,2.5926465,SM_A,JIV-01-05zg2d,25,907.977
2175,96.791,2.5926465,SM_A,JIV-01-05zg2d,25,947.495
2205,103.998,2.5926465,SM_A,JIV-01-05zg2d,25,898.814
2235,111.012,2.5926465,SM_A,JIV-01-05zg2d,25,907.749
2265,103.339,2.5926465,SM_A,JIV-01-05zg2d,25,920.248
2295,95.7865,2.5926465,SM_A,JIV-01-05zg2d,25,918.485
2325,95.1087,2.5926465,SM_A,JIV-01-05zg2d,25,901.452
2355,93.6983,2.5926465,SM_A,JIV-01-05zg2d,25,919.779
2385,92.8767,2.5926465,SM_A,JIV-01-05zg2d,25,942.007
