time_s,integral,shift,assignment,experiment,ISTD_mg_mL,ISTD
7655,193.193,3.436528,product,AH-01-15zg2d,22.45,968.092
7715,194.623,3.436528,product,AH-01-15zg2d,22.45,970.465
7775,189.02,3.436528,product,AH-01-15zg2d,22.45,972.519
7835,195.191,3.436528,product,AH-01-15zg2d,22.45,959.093
7895,203.739,3.436528,product,AH-01-15zg2d,22.45,954.868
7955,200.831,3.436528,product,AH-01-15zg2d,22.45,969.321
8015,202.654,3.436528,product,AH-01-15zg2d,22.45,962.809
8075,198.033,3.436528,product,AH-01-15zg2d,22.45,957.381
8135,204.139,3.436528,product,AH-01-15zg2d,22.45,964.116
8195,199.574,3.436528,product,AH-01-15zg2d,22.45,957.605
155,410.961,3.811153,SM_A,AH-01-15zg2d,22.45,966.258
215,402.631,3.811153,SM_A,AH-01-15zg2d,22.45,956.241
275,398.525,3.811153,SM_A,AH-01-15zg2d,22.45,963.426
335,392.758,3.811153,SM_A,AH-01-15zg2d,22.45,962.698
395,387.843,3.811153,SM_A,AH-01-15zg2d,22.45,965.575
455,381.363,3.811153,SM_A,AH-01-15zg2d,22.45,962.179
515,378.932,3.811153,SM_A,AH-01-15zg2d,22.45,961.425
575,373.317,3.811153,SM_A,AH-01-15zg2d,22.45,962.205
635,369.83,3.811153,SM_A,AH-01-15zg2d,22.45,956.914
695,365.017,3.811153,SM_A,AH-01-15zg2d,22.45,966.093
755,359.679,3.811153,SM_A,AH-01-15zg2d,22.45,957.516
815,354.217,3.811153,SM_A,AH-01-15zg2d,22.45,967.065
875,351.219,3.811153,SM_A,AH-01-15zg2d,22.45,959.294
935,348.146,3.811153,SM_A,AH-01-15zg2d,22.45,961.73
995,343.018,3.811153,SM_A,AH-01-15zg2d,22.45,955.412
1055,338.746,3.811153,SM_A,AH-01-15zg2d,22.45,962.87
1115,335.006,3.811153,SM_A,AH-01-15zg2d,22.45,973.75
1175,333.366,3.811153,SM_A,AH-01-15zg2d,22.45,968.421
1235,329.011,3.811153,SM_A,AH-01-15zg2d,22.45,964.273
1295,323.682,3.811153,SM_A,AH-01-15zg2d,22.45,966.724
1355,320.38,3.811153,SM_A,AH-01-15zg2d,22.45,963.236
1415,314.123,3.811153,SM_A,AH-01-15zg2d,22.45,958.148
1475,312.659,3.811153,SM_A,AH-01-15zg2d,22.45,952.653
1535,308.519,3.811153,SM_A,AH-01-15zg2d,22.45,970.742
1595,303.873,3.811153,SM_A,AH-01-15zg2d,22.45,971.335
1655,301.217,3.811153,SM_A,AH-01-15zg2d,22.45,963.983
1715,298.415,3.811153,SM_A,AH-01-15zg2d,22.45,970.776
1775,294.874,3.811153,SM_A,AH-01-15zg2d,22.45,950.794
1835,289.469,3.811153,SM_A,AH-01-15zg2d,22.45,956.919
1895,286.287,3.811153,SM_A,AH-01-15zg2d,22.45,964.163
1955,283.691,3.811153,SM_A,AH-01-15zg2d,22.45,955.522
2015,277.954,3.811153,SM_A,AH-01-15zg2d,22.45,968.535
2075,275.513,3.811153,SM_A,AH-01-15zg2d,22.45,969.483
2135,270.864,3.811153,SM_A,AH-01-15zg2d,22.45,945.301
2195,267.261,3.811153,SM_A,AH-01-15zg2d,22.45,959.421
2255,264.521,3.811153,SM_A,AH-01-15zg2d,22.45,960.027
2315,262.111,3.811153,SM_A,AH-01-15zg2d,22.45,953.233
2375,257.512,3.811153,SM_A,AH-01-15zg2d,22.45,952.806
2435,255.299,3.811153,SM_A,AH-01-15zg2d,22.45,958.162
